link,date,title,text
https://www.boatos.org/brasil/empresarios-de-belo-horizonte-juiz-de-fora-vicosa-curitiba-fortaleza-escrevem-carta-aberta-pregando-desobediencia-lockdown.html,2021-03-18T14:36:15-03:00,"Empresários de Belo Horizonte, Juiz de Fora, Viçosa, Curitiba e Fortaleza escrevem carta aberta pregando desobediência ao lockdown #boato"," Uma carta aberta pregando à desobediência ao lockdown foi escrita por empresários de Belo Horizonte, Juiz de Fora, Viçosa, Curitiba e Fortaleza. Eles “informaram” que não vão cumprir o decreto de isolamento social."
https://www.boatos.org/mundo/video-manifestacao-contra-comunismo-argentina-quarentena.html,2020-06-12T08:56:20-03:00,Vídeo mostra manifestação contra o comunismo na Argentina durante a quarentena #boato,"“ARGENTINA | Mega manifestação , contra as políticas comunistas do presidente Alberto Fernández”."
https://www.boatos.org/mundo/video-manifestacao-contra-comunismo-argentina-quarentena.html,2020-06-12T08:56:20-03:00,Vídeo mostra manifestação contra o comunismo na Argentina durante a quarentena #boato,"“Argentina faz manifestação gigante,.com certeza se arrependeram de votar novamente na esquerda. Os argentinos estão tendo seus bens desapropriados pela ditadura vermelha bolivariana”."
https://www.boatos.org/mundo/video-manifestacao-contra-comunismo-argentina-quarentena.html,2020-06-12T08:56:20-03:00,Vídeo mostra manifestação contra o comunismo na Argentina durante a quarentena #boato,"“Manifestação contra os esquerdistas Fernandez e Cristina Kirchner na Argentina…, e eu aqui pensando que eles estavam dormindo em “Berço Esplendido” como nossas FFAA ….!”."
https://www.boatos.org/mundo/video-manifestacao-contra-comunismo-argentina-quarentena.html,2020-06-12T08:56:20-03:00,Vídeo mostra manifestação contra o comunismo na Argentina durante a quarentena #boato," Imagens mostram protestos contra o comunismo e contra o presidente Alberto Fernández, na Argentina"
https://www.boatos.org/tecnologia/lbv-dando-cestas-basicas-kits-de-limpeza-compartilhar-link-whatsapp.html,2020-05-14T16:24:29-03:00,LBV está dando cestas básicas e kits de limpeza para quem compartilhar link no WhatsApp #boato,COMUNICADO URGENTE: A LBV (Legião da Boa Vontade) está cadastrando famílias carentes para entrega domiciliar gratuita de Cestas Básicas e Kits de Limpeza! Faça seu cadastro pelo site: [site].
https://www.boatos.org/tecnologia/lbv-dando-cestas-basicas-kits-de-limpeza-compartilhar-link-whatsapp.html,2020-05-14T16:24:29-03:00,LBV está dando cestas básicas e kits de limpeza para quem compartilhar link no WhatsApp #boato,O novo coronavírus pode matar. E a fome também!Estamos cadastrando famílias carentes em todo Brasil para doação de mais de 200 mil cestas básicas! Está precisando ou conhece alguém que precisa? CADASTRE-SE! INFORME SEU ESTADO INFORME SUA CIDADE NOME COMPLETO Sem Abreviações FAZER CADASTRO
https://www.boatos.org/tecnologia/lbv-dando-cestas-basicas-kits-de-limpeza-compartilhar-link-whatsapp.html,2020-05-14T16:24:29-03:00,LBV está dando cestas básicas e kits de limpeza para quem compartilhar link no WhatsApp #boato,"380 cestas entregues Inscrições até 15/05/2020 Temos 15 cestas disponíveis na região! SOLICITAR CESTA REQUISITOS: Para receber a cesta, o candidato(a) deve preencher os seguintes requisitos: – Ser Brasileiro(a); – Não estar trabalhando com carteira assinada; – Renda familiar inferior a 3 salários mínimos."
https://www.boatos.org/tecnologia/lbv-dando-cestas-basicas-kits-de-limpeza-compartilhar-link-whatsapp.html,2020-05-14T16:24:29-03:00,LBV está dando cestas básicas e kits de limpeza para quem compartilhar link no WhatsApp #boato,INTENS DA CESTA DE ALIMENTOS: – 5Kg Arroz – 1Kg Feijão – 1L Óleo de Soja – 1Kg Açúcar – 2 pacotes de Macarrão – 500g Farinha de Mandioca – 1Kg de Fubá – 2 latas de Extrato de Tomate – 1Kg de Sal INTENS DO KIT DE LIMPEZA: – Sabão – Água Sanitária – Desinfetante – Detergente – Álcool 70 – Limpador Multiuso
https://www.boatos.org/tecnologia/lbv-dando-cestas-basicas-kits-de-limpeza-compartilhar-link-whatsapp.html,2020-05-14T16:24:29-03:00,LBV está dando cestas básicas e kits de limpeza para quem compartilhar link no WhatsApp #boato,"Para solicitar a entrega domiciliar de sua Cesta Básica e Kit de Limpeza, basta compartilhar esta informação com seus familiares e contatos no Whatsapp! É muito fácil, vamos lá? AVANÇAR"
